,government_name,repo_count
0,argentina,5
1,australia,41
2,belgium,6
3,bolivia,2
4,brazil,31
5,bulgaria,2
6,canada,45
7,catalonia,14
8,chile,1
9,civic,137
10,code,116
11,colombia,3
12,denmark,5
13,ecuador,3
14,egypt,1
15,estonia,6
16,ethiopia,1
17,european,1
18,finland,14
19,france,39
20,french,1
21,germany,4
22,guatemala,1
23,hong,1
24,india,1
25,international,3
26,isle,1
27,israel,1
28,italy,6
29,japan,6
30,jersey,1
31,kenya,1
32,kosovo,1
33,latvia,1
34,lithuania,2
35,luxemburg,2
36,malaysia,1
37,mauritius,1
38,mexico,6
39,new,16
40,norway,25
41,open,20
42,panama,2
43,paraguay,2
44,peru,1
45,philippines,2
46,poland,3
47,portugal,1
48,republic,1
49,romania,3
50,saudi,1
51,singapore,2
52,south,1
53,spain,8
54,sweden,38
55,switzerland,10
56,the,16
57,uk,85
58,ukraine,1
59,united,1
60,uruguay,1
61,us,401
62,venezuela,2
